No.,Date,Location,Winner,Score
1,"March 1, 1901","West Lafayette, IN",Purdue,20–15
2,"March 15, 1901","Bloomington, IN",Purdue,23–19
3,"February 15, 1902","Bloomington, IN",Purdue,32–8
4,"March 7, 1902","West Lafayette, IN",Purdue,71–25
5,"January 30, 1903","West Lafayette, IN",Purdue,52–16
6,"March 6, 1903","Bloomington, IN",Purdue,17–13
7,"February 12, 1904","Bloomington, IN",Purdue,31–18
8,"March 5, 1904","West Lafayette, IN",Purdue,22–21
9,"January 14, 1905","West Lafayette, IN",Purdue,38–20
10,"February 18, 1905","Bloomington, IN",Indiana,29–14
11,"February 10, 1906","West Lafayette, IN",Purdue,27–25
12,"March 10, 1906","Bloomington, IN",Indiana,30–27
13,"February 7, 1908","West Lafayette, IN",Indiana,26–21
14,"February 26, 1908","Bloomington, IN",Purdue,16–14
15,"February 9, 1909","Bloomington, IN",Purdue,28–14
16,"March 13, 1909","West Lafayette, IN",Purdue,30–13
17,"February 8, 1910","Bloomington, IN",Purdue,23–18
18,"March 1, 1910","West Lafayette, IN",Purdue,62–15
19,"January 31, 1911","Bloomington, IN",Purdue,37–33
20,"March 4, 1911","West Lafayette, IN",Purdue,21–16
21,"February 3, 1912","Bloomington, IN",Purdue,54–18
22,"March 3, 1912","West Lafayette, IN",Purdue,45–11
23,"January 24, 1913","West Lafayette, IN",Purdue,34–19
24,"March 15, 1913","Bloomington, IN",Purdue,32–21
25,"February 9, 1914","West Lafayette, IN",Purdue,35–13
26,"March 3, 1914","Bloomington, IN",Indiana,30–28
27,"February 16, 1915","Bloomington, IN",Purdue,15–12
28,"March 2, 1915","West Lafayette, IN",Purdue,26–15
29,"January 15, 1916","West Lafayette, IN",Purdue,26–17
30,"March 11, 1916","Bloomington, IN",Indiana,39–29
31,"January 28, 1917","Bloomington, IN",Purdue,22–15
32,"February 6, 1917","West Lafayette, IN",Purdue,24–18
33,"January 23, 1920","Bloomington, IN",Purdue,17–9
34,"February 25, 1920","West Lafayette, IN",Purdue,31–20
35,"January 28, 1921","West Lafayette, IN",Purdue,27–19
36,"March 3, 1921","Bloomington, IN",Purdue,29–20
37,"February 11, 1922","Bloomington, IN",Purdue,24–19
38,"February 25, 1922","West Lafayette, IN",Purdue,20–9
39,"January 24, 1923","West Lafayette, IN",Indiana,31–26
40,"March 15, 1923","Bloomington, IN",Purdue,31–29
41,"February 4, 1925","Bloomington, IN",Indiana,39–36
42,"February 27, 1925","West Lafayette, IN",Purdue,39–29
43,"January 23, 1926","Bloomington, IN",Indiana,37–34
44,"February 13, 1926","West Lafayette, IN",Purdue,31–29
45,"January 24, 1928","West Lafayette, IN",Purdue,28–25
46,"February 18, 1928","Bloomington, IN",Indiana,40–37
47,"January 19, 1929","Bloomington, IN",Purdue,29–23
48,"February 18, 1929","West Lafayette, IN",Purdue,30–16
49,"February 7, 1931","Bloomington, IN",Purdue,30–23
50,"February 14, 1931","West Lafayette, IN",Purdue,28–15
51,"January 4, 1932","West Lafayette, IN",Purdue,49–30
52,"February 22, 1932","Bloomington, IN",Purdue,42–29
53,"January 13, 1934","Bloomington, IN",Purdue,47–13
54,"March 3, 1934","West Lafayette, IN",Purdue,55–28
55,"February 18, 1935","West Lafayette, IN",Purdue,44–38
56,"February 25, 1935","Bloomington, IN",Indiana,41–35
57,"January 16, 1937","Bloomington, IN",Purdue,41–30
58,"February 27, 1937","West Lafayette, IN",Purdue,69–45
59,"February 5, 1938","West Lafayette, IN",Purdue,38–36
60,"February 26, 1938","Bloomington, IN",Purdue,50–36
61,"January 16, 1939","Bloomington, IN",Indiana,39–36
62,"February 27, 1939","West Lafayette, IN",Purdue,45–34
63,"February 10, 1940","Bloomington, IN",Indiana,46–39
64,"March 2, 1940","West Lafayette, IN",Indiana,51–45
65,"February 1, 1941","West Lafayette, IN",Purdue,40–36
66,"March 1, 1941","Bloomington, IN",Indiana,47–29
67,"January 12, 1942","Bloomington, IN",Indiana,40–39
68,"January 30, 1943","Bloomington, IN",Indiana,53–35
69,"March 1, 1943","West Lafayette, IN",Purdue,41–38
70,"January 18, 1944","West Lafayette, IN",Purdue,62–48
71,"March 4, 1944","Bloomington, IN",Indiana,51–45
72,"January 17, 1945","Bloomington, IN",Indiana,51–50
73,"February 7, 1945","West Lafayette, IN",Purdue,62–48
74,"January 16, 1946","West Lafayette, IN",Purdue,49–38
75,"February 16, 1946","Bloomington, IN",Indiana,57–47
76,"January 13, 1947","Bloomington, IN",Indiana,62–46
77,"March 3, 1947","West Lafayette, IN",Indiana,54–38
78,"January 5, 1948","West Lafayette, IN",Purdue,58–49
79,"February 28, 1948","Bloomington, IN",Purdue,51–49
80,"January 17, 1949","Bloomington, IN",Indiana,56–42
81,"February 19, 1949","West Lafayette, IN",Indiana,56–50
82,"January 21, 1950","West Lafayette, IN",#8 Indiana,49–39
83,"February 18, 1950","Bloomington, IN",Indiana,60–50
84,"January 20, 1951","West Lafayette, IN",#6 Indiana,77–56
85,"February 24, 1951","Bloomington, IN",#4 Indiana,68–53
86,"January 19, 1952","Bloomington, IN",#14 Indiana,82–77
87,"February 9, 1952","West Lafayette, IN",#18 Indiana,93–70
88,"January 19, 1953","West Lafayette, IN",#6 Indiana,88–75
89,"February 23, 1953","Bloomington, IN",#2 Indiana,113–78
90,"January 11, 1954","Bloomington, IN",#3 Indiana,73–67
91,"February 15, 1954","West Lafayette, IN",#3 Indiana,86–50
92,"February 21, 1955","Bloomington, IN",Indiana,75–62
93,"February 26, 1955","West Lafayette, IN",Purdue,92–67
94,"March 3, 1956","Bloomington, IN",Purdue,73–71
95,"January 12, 1957","West Lafayette, IN",Purdue,70–64
96,"January 6, 1958","West Lafayette, IN",Purdue,68–66
97,"March 1, 1958","Bloomington, IN",Indiana,109–95
98,"January 5, 1959","Bloomington, IN",Indiana,77–69
99,"February 16, 1959","West Lafayette, IN",#20 Purdue,94–89
100,"January 2, 1960","Bloomington, IN",Purdue,79–76
101,"February 13, 1961","West Lafayette, IN",Purdue,64–55
102,"February 10, 1962","West Lafayette, IN",Purdue,105–93
103,"March 3, 1962","Bloomington, IN",Indiana,88–71
104,"January 7, 1963","Bloomington, IN",Indiana,85–71
105,"January 28, 1963","West Lafayette, IN",Indiana,74–73
106,"February 1, 1964","West Lafayette, IN",Purdue,87–84
107,"February 22, 1964","Bloomington, IN",Indiana,92–79
108,"February 22, 1965","West Lafayette, IN",Purdue,82–70
109,"March 6, 1965","Bloomington, IN",Indiana,90–79
110,"February 21, 1966","West Lafayette, IN",Purdue,77–68
111,"March 11, 1967","Bloomington, IN",Indiana,95–82
112,"January 16, 1968","West Lafayette, IN",Purdue,89–60
113,"March 9, 1968","Bloomington, IN",Purdue,68–64
114,"February 18, 1969","Bloomington, IN",#9 Purdue,96–95
115,"March 8, 1969","West Lafayette, IN",#6 Purdue,120–76
116,"February 10, 1970","West Lafayette, IN",Purdue,98–80
117,"February 6, 1971","Bloomington, IN",Purdue,85–81
118,"February 26, 1972","West Lafayette, IN",Purdue,70–69
119,"March 11, 1972","Bloomington, IN",#20 Indiana,62–48
120,"February 10, 1973","West Lafayette, IN",Purdue,72–69
121,"March 10, 1973","Bloomington, IN",#9 Indiana,77–72
122,"March 9, 1974","Bloomington, IN",#13 Indiana,80–79
123,"January 25, 1975","Bloomington, IN",#1 Indiana,104–71
124,"February 22, 1975","West Lafayette, IN",#1 Indiana,83–82
125,"January 19, 1976","Bloomington, IN",#1 Indiana,71–67
126,"February 16, 1976","West Lafayette, IN",#1 Indiana,74–71
127,"January 6, 1977","Bloomington, IN",Purdue,80–63
128,"February 20, 1977","West Lafayette, IN",Purdue,86–78
129,"January 21, 1978","West Lafayette, IN",Purdue,77–67
130,"February 9, 1978","Bloomington, IN",Indiana,65–64
131,"January 6, 1979","Bloomington, IN",Indiana,63–54
132,"March 1, 1979","West Lafayette, IN",#19 Purdue,55–48
133,"March 21, 1979","New York, NY",Indiana,53–52
134,"January 26, 1980","Bloomington, IN",#16 Indiana,69–58
135,"February 2, 1980","West Lafayette, IN",#17 Purdue,56–51
136,"March 13, 1980","Lexington, NY",#20 Purdue,76–69
137,"January 31, 1981","Bloomington, IN",Indiana,69–61
138,"February 7, 1981","West Lafayette, IN",Purdue,68–66
139,"January 23, 1982","Bloomington, IN",Indiana,57–55
140,"February 20, 1982","West Lafayette, IN",Purdue,76–65
141,"January 15, 1983","West Lafayette, IN",#4 Indiana,81–78
142,"March 3, 1983","Bloomington, IN",#11 Indiana,64–41
143,"January 14, 1984","Bloomington, IN",Purdue,74–66
144,"February 29, 1984","West Lafayette, IN",Indiana,78–59
145,"January 24, 1985","West Lafayette, IN",Purdue,62–52
146,"February 23, 1985","Bloomington, IN",Purdue,72–63
147,"January 23, 1986","Bloomington, IN",Indiana,71–70
148,"February 23, 1986","West Lafayette, IN",Purdue,85–68
149,"January 31, 1987","Bloomington, IN",#4 Indiana,88–77
150,"February 26, 1987","West Lafayette, IN",#6 Purdue,75–64
151,"January 30, 1988","Bloomington, IN",Indiana,82–79
152,"February 21, 1988","West Lafayette, IN",#2 Purdue,95–85
153,"January 9, 1989","West Lafayette, IN",Indiana,74–73
154,"February 12, 1989","Bloomington, IN",#13 Indiana,64–62
155,"January 13, 1990","Bloomington, IN",Purdue,81–79
156,"February 19, 1990","West Lafayette, IN",#12 Purdue,72–49
157,"January 14, 1991","West Lafayette, IN",#3 Indiana,65–62
158,"February 10, 1991","Bloomington, IN",#4 Indiana,81–63
159,"January 28, 1992","Bloomington, IN",#4 Indiana,109–65
160,"March 15, 1992","West Lafayette, IN",Purdue,61–59
161,"January 19, 1993","West Lafayette, IN",#2 Indiana,74–65
162,"February 21, 1993","Bloomington, IN",#1 Indiana,93–78
163,"January 18, 1994","West Lafayette, IN",#12 Purdue,83–76
164,"February 19, 1994","Bloomington, IN",#16 Indiana,82–80
165,"January 31, 1995","West Lafayette, IN",Purdue,76–66
166,"February 12, 1995","Bloomington, IN",Indiana,82–73
167,"January 16, 1996","West Lafayette, IN",#17 Purdue,74–69
168,"February 25, 1996","Bloomington, IN",#7 Purdue,74–72
169,"January 18, 1997","West Lafayette, IN",Purdue,70–53
170,"February 18, 1997","Bloomington, IN",Purdue,89–87
171,"January 18, 1998","Bloomington, IN",Indiana,94–88
172,"February 10, 1998","West Lafayette, IN",#8 Purdue,94–89
173,"March 6, 1998","Chicago, IL",#9 Purdue,76–71
174,"January 16, 1999","West Lafayette, IN",#23 Indiana,87–76
175,"February 9, 1999","Bloomington, IN",#21 Purdue,86–81
176,"January 22, 2000","West Lafayette, IN",Purdue,83–77
177,"February 29, 2000","Bloomington, IN",#14 Indiana,79–65
178,"January 23, 2001","Bloomington, IN",Indiana,66–55
179,"March 3, 2001","West Lafayette, IN",Indiana,74–58
180,"January 31, 2002","Bloomington, IN",Indiana,66–52
181,"December 14, 2002","Indianapolis, IN",#7 Indiana,66–63
182,"January 25, 2003","West Lafayette, IN",Purdue,69–47
183,"January 27, 2004","Bloomington, IN",Indiana,63–58
184,"February 14, 2004","West Lafayette, IN",Purdue,71–56
