,,,Overall,Overall,Overall,Conference,Conference,Conference,,,,,,,,,,
Rk,Season,Conf,W,L,W-L%,W,L,W-L%,SRS,SOS,PTS,PTS,AP Pre,AP High,AP Final,NCAA Tournament,Seed,Coach(es)
1,2020-21,Big Ten,12,15,.444,7,12,.368,12.79,12.45,69.7,69.4,,,,,,Archie Miller (12-15)
2,2019-20,Big Ten,20,12,.625,9,11,.450,15.07,10.35,71.4,66.7,,,,,,Archie Miller (20-12)
3,2018-19,Big Ten,19,16,.543,8,12,.400,13.82,10.10,71.5,67.8,,21,,,,Archie Miller (19-16)
4,2017-18,Big Ten,16,15,.516,9,9,.500,9.89,8.25,71.9,70.3,,,,,,Archie Miller (16-15)
5,2016-17,Big Ten,18,16,.529,7,11,.389,14.63,8.16,79.7,73.3,11,3,,,,Tom Crean (18-16)
6,2015-16,Big Ten,27,8,.771,15,3,.833,19.59,6.90,82.6,69.9,15,10,14,Lost Regional Semifinal,5,Tom Crean (27-8)
7,2014-15,Big Ten,20,14,.588,9,9,.500,12.94,7.20,77.4,71.7,,22,,Lost Second Round,10,Tom Crean (20-14)
8,2013-14,Big Ten,17,15,.531,7,11,.389,11.32,6.64,72.3,67.6,,,,,,Tom Crean (17-15)
9,2012-13,Big Ten,29,7,.806,14,4,.778,24.90,8.38,78.6,62.1,1,1,4,Lost Regional Semifinal,1,Tom Crean (29-7)
10,2011-12,Big Ten,27,9,.750,11,7,.611,18.63,7.80,77.3,66.4,,7,16,Lost Regional Semifinal,4,Tom Crean (27-9)
11,2010-11,Big Ten,12,20,.375,3,15,.167,9.03,7.65,69.6,68.2,,,,,,Tom Crean (12-20)
12,2009-10,Big Ten,10,21,.323,4,14,.222,0.76,9.37,66.2,71.5,,,,,,Tom Crean (10-21)
13,2008-09,Big Ten,6,25,.194,1,17,.056,-2.03,8.98,60.1,70.6,,,,,,Tom Crean (6-25)
14,2007-08,Big Ten,25,8,.758,14,4,.778,15.78,6.08,75.0,65.3,9,7,,Lost First Round,8,Dan Dakich (3-4) Kelvin Sampson (22-4)
15,2006-07,Big Ten,21,11,.656,10,6,.625,16.78,8.35,70.2,61.8,,23,,Lost Second Round,7,Kelvin Sampson (21-11)
16,2005-06,Big Ten,19,12,.613,9,7,.563,12.10,7.36,72.0,67.2,24,9,,Lost Second Round,6,Mike Davis (19-12)
17,2004-05,Big Ten,15,14,.517,10,6,.625,10.18,10.01,63.8,63.6,,,,,,Mike Davis (15-14)
18,2003-04,Big Ten,14,15,.483,7,9,.438,5.18,7.94,64.9,67.6,,,,,,Mike Davis (14-15)
19,2002-03,Big Ten,21,13,.618,8,8,.500,12.63,9.81,69.9,67.1,21,6,,Lost Second Round,7,Mike Davis (21-13)
20,2001-02,Big Ten,25,12,.676,11,5,.688,19.19,12.08,70.5,62.6,22,20,,Lost National Final,5,Mike Davis (25-12)
21,2000-01,Big Ten,21,13,.618,10,6,.625,17.58,11.05,70.8,64.3,,20,20,Lost First Round,4,Mike Davis (21-13)
22,1999-00,Big Ten,20,9,.690,10,6,.625,19.43,10.22,77.7,68.4,,9,22,Lost First Round,6,Bob Knight (20-9)
